customer_id,recency,frequency,monetary,ticket_count,churn_next_60d,R_score,F_score,M_score,RFM_Score,segment_name
CUST00001,168,6,2955.57,2.0,1,2,3,3,233,Loyal Customers
CUST00002,35,3,1713.1,1.0,0,3,2,2,322,Low Value Customers
CUST00003,232,1,649.98,0.0,1,1,1,1,111,Dormant Customers
CUST00004,192,1,1604.04,0.0,1,1,1,2,112,Dormant Customers
CUST00005,11,6,3910.43,1.0,0,4,3,3,433,Loyal Customers
CUST00006,55,6,3987.46,2.0,0,3,3,3,333,Loyal Customers
CUST00007,3,2,1219.9,0.0,0,4,1,1,411,Low Value Customers
CUST00008,45,6,3647.9900000000002,1.0,0,3,3,3,333,Loyal Customers
CUST00009,29,2,803.99,0.0,0,3,1,1,311,Low Value Customers
CUST00010,9,2,1984.18,0.0,0,4,1,2,412,Low Value Customers
CUST00011,7,4,2912.49,0.0,0,4,2,3,423,Potential Loyalists
CUST00012,111,2,2051.63,1.0,1,2,1,2,212,Potential Loyalists
CUST00013,3,4,2934.52,1.0,0,4,2,3,423,Potential Loyalists
CUST00014,1,13,9108.63,2.0,0,4,4,4,444,Loyal Customers
CUST00015,1,5,5805.34,0.0,0,4,3,4,434,Loyal Customers
CUST00016,276,1,478.02,1.0,1,1,1,1,111,Dormant Customers
CUST00017,347,3,1699.1399999999999,0.0,1,1,2,2,122,Dormant Customers
CUST00018,172,1,329.21,0.0,1,2,1,1,211,Dormant Customers
CUST00019,35,3,2719.02,0.0,0,3,2,3,323,Potential Loyalists
CUST00020,429,3,4487.950000000001,1.0,1,1,2,4,124,Dormant Customers
CUST00021,138,2,1059.3,1.0,1,2,1,1,211,Dormant Customers
CUST00022,37,2,1332.67,0.0,0,3,1,1,311,Low Value Customers
CUST00023,42,2,772.04,0.0,0,3,1,1,311,Low Value Customers
CUST00024,14,2,967.97,0.0,0,4,1,1,411,Low Value Customers
CUST00025,226,7,4868.86,3.0,1,1,4,4,144,Loyal Customers
CUST00026,41,4,4521.43,1.0,0,3,2,4,324,Potential Loyalists
CUST00027,15,2,2666.0,1.0,0,4,1,3,413,Potential Loyalists
CUST00028,4,3,1853.73,1.0,0,4,2,2,422,Low Value Customers
CUST00029,12,11,7122.8,0.0,0,4,4,4,444,Loyal Customers
CUST00030,16,7,3884.46,2.0,0,4,4,3,443,Loyal Customers
CUST00031,110,1,672.95,0.0,1,2,1,1,211,Low Value Customers
CUST00032,32,4,2456.0499999999997,0.0,0,3,2,2,322,Potential Loyalists
CUST00033,15,6,3548.9,2.0,0,4,3,3,433,Loyal Customers
CUST00034,53,7,4165.39,3.0,0,3,4,3,343,Loyal Customers
CUST00035,188,3,1369.71,0.0,1,1,2,1,121,Dormant Customers
CUST00036,88,4,1737.33,1.0,1,2,2,2,222,Low Value Customers
CUST00037,9,3,2021.52,0.0,0,4,2,2,422,Potential Loyalists
CUST00038,11,6,2761.52,1.0,0,4,3,3,433,Loyal Customers
CUST00039,31,4,2094.09,0.0,0,3,2,2,322,Potential Loyalists
CUST00040,215,1,634.73,1.0,1,1,1,1,111,Dormant Customers
CUST00041,115,4,1911.8600000000001,1.0,1,2,2,2,222,Low Value Customers
CUST00042,46,10,7919.28,6.0,0,3,4,4,344,Loyal Customers
CUST00043,12,2,705.3199999999999,0.0,0,4,1,1,411,Low Value Customers
CUST00044,58,4,3409.6499999999996,1.0,0,2,2,3,223,Potential Loyalists
CUST00045,157,1,413.75,0.0,1,2,1,1,211,Dormant Customers
